WC	2006	1	0.0723	0.02169
WC	2006	2	0.0699	0.02097
WC	2006	3	0.0673	0.02019
WC	2006	4	0.0652	0.01956
WC	2006	5	0.063	0.0189
WC	2006	6	0.0611	0.01833
WC	2006	7	0.0736	0.02208
WC	2006	8	0.0959	0.02877
WC	2006	9	0.0893	0.02679
WC	2006	10	0.1022	0.03066
WC	2006	11	0.1079	0.03237
WC	2006	12	0.0976	0.02928
WC	2006	13	0.0885	0.02655
WC	2006	14	0.083	0.0249
WC	2006	15	0.0795	0.02385
WC	2006	16	0.0773	0.02319
WC	2006	17	0.0752	0.02256
WC	2006	18	0.0721	0.02163
WC	2006	19	0.0695	0.02085
WC	2006	20	0.0673	0.02019
WC	2006	21	0.0652	0.01956
WC	2006	22	0.0629	0.01887
WC	2006	23	0.0603	0.01809
WC	2006	24	0.0579	0.01737
WC	2006	25	0.0556	0.01668
WC	2006	26	0.0534	0.01602
WC	2006	27	0.0516	0.01548
WC	2006	28	0.0799	0.02397
WC	2006	29	0.0826	0.02478
WC	2006	30	0.089	0.0267
WC	2006	31	0.1076	0.03228
WC	2006	32	0.1032	0.03096
WC	2006	33	0.1012	0.03036
WC	2006	34	0.0987	0.02961
WC	2006	35	0.0964	0.02892
WC	2006	36	0.0937	0.02811
WC	2006	37	0.0911	0.02733
WC	2006	38	0.0891	0.02673
WC	2006	39	0.0871	0.02613
WC	2006	40	0.0852	0.02556
WC	2006	41	0.0835	0.02505
WC	2006	42	0.082	0.0246
WC	2006	43	0.0808	0.02424
WC	2006	44	0.0794	0.02382
WC	2006	45	0.0779	0.02337
WC	2006	46	0.0763	0.02289
WC	2006	47	0.0734	0.02202
WC	2006	48	0.0707	0.02121
WC	2006	49	0.068	0.0204
WC	2006	50	0.0653	0.01959
WC	2006	51	0.0629	0.01887
WC	2006	52	0.0607	0.01821
WC	2006	53	0.0589	0.01767
WC	2006	54	0.0576	0.01728
WC	2006	55	0.0561	0.01683
WC	2006	56	0.0539	0.01617
WC	2006	57	0.0523	0.01569
WC	2006	58	0.052	0.0156
WC	2006	59	0.0513	0.01539
WC	2006	60	0.0525	0.01575
WC	2006	61	0.0549	0.01647
